分割数量10,分割数量20,分割数量50,分割数量100
29.692518711090088,30.85227370262146,30.02736210823059,32.54987621307373
30.787869691848755,32.765015840530396,32.14786696434021,32.37615180015564
32.056610345840454,32.65280103683472,30.403992891311646,34.183547258377075
42.116047859191895,32.266714572906494,32.46790146827698,32.58376741409302
31.701345682144165,31.856627702713013,33.688398361206055,33.74556112289429
32.809675216674805,35.55508518218994,32.52188682556152,32.67184233665466
29.27445363998413,32.14545202255249,32.18495512008667,37.204148292541504
30.6913902759552,32.27886509895325,34.65557599067688,32.47562336921692
31.800235986709595,32.684308767318726,45.89282774925232,45.53800392150879
44.382925033569336,42.51117968559265,43.71806311607361,44.562479972839355
