分割数量10,分割数量20,分割数量50,分割数量100
0.0,0.0,0.0,0.0
0.0,0.001,0.0,0.0
0.0,0.003,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.001
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.001
0.002,0.0,0.0,0.0
0.0,0.005,0.0,0.0
0.0,0.001,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
