分割数量10,分割数量20,分割数量50,分割数量100
0.0,0.009,0.0,0.0
0.005,0.001,0.0,0.0
0.0,0.03,0.0,0.0
0.0,0.0,0.0,0.0
0.016,0.017,0.0,0.0
0.012,0.022,0.0,0.0
0.006,0.0,0.001,0.0
0.0,0.018,0.0,0.0
0.004,0.008,0.0,0.0
0.011,0.001,0.0,0.001
