分割数量10,分割数量20,分割数量50,分割数量100
33.10119414329529,29.934059143066406,32.08326458930969,34.42502737045288
32.558356285095215,30.77295780181885,31.12417459487915,33.1750009059906
29.149505376815796,29.970141410827637,32.35233402252197,33.041988134384155
29.840400218963623,31.63471555709839,32.754215478897095,34.1425125125142
28.75953507423401,29.578033685684204,30.29361081123352,31.414008140563965
28.6874418258667,29.47379422187805,31.634705543518066,34.07713603973389
31.24982976913452,32.69006133079529,38.51405644416809,32.81637978553772
30.02057194709778,31.618539094924927,32.744619369506836,32.846089601516724
30.843289375305176,32.29549765586853,32.83102250099182,34.27219820022583
30.39177656173706,32.33829379081726,33.89213538169861,33.04294419288635
